blct,"col  Acros",127.2050,25
blct,"vel Velocity Alerts (Downslope)",142.4750,7
blct,"vel Velocity Alerts (Across Slope)",115.7800,7
blct,"dis Displacement (Downslope)",588.5800,145
blct,"dis Displacement (Across Slope)",517.0500,145
blcta,"col  Downs",206.1500,31
blcta,"col  Acros",187.3900,31
blcta,"vel Velocity Alerts (Downslope)",173.9950,7
blcta,"vel Velocity Alerts (Across Slope)",130.5700,7
blcta,"dis Displacement (Downslope)",668.6750,145
blcta,"dis Displacement (Across Slope)",644.0500,145
blcta,"col  Downs",206.1500,31
blcta,"col  Acros",187.3900,31
blcta,"vel Velocity Alerts (Downslope)",173.9950,7
blcta,"vel Velocity Alerts (Across Slope)",130.5700,7
blcta,"dis Displacement (Downslope)",668.6750,145
blcta,"dis Displacement (Across Slope)",644.0500,145
bolb,"col  Downs",202.7400,31
bolb,"col  Acros",146.9000,31
bolb,"vel Velocity Alerts (Downslope)",192.7850,7
bolb,"vel Velocity Alerts (Across Slope)",173.0950,7
bolb,"dis Displacement (Downslope)",708.6100,145
bolb,"dis Displacement (Across Slope)",597.4200,145
bolb,"col  Downs",202.7400,31
bolb,"col  Acros",146.9000,31
bolb,"vel Velocity Alerts (Downslope)",192.7850,7
bolb,"vel Velocity Alerts (Across Slope)",173.0950,7
bolb,"dis Displacement (Downslope)",708.6100,145
bolb,"dis Displacement (Across Slope)",597.4200,145
btota,"col  Downs",138.8550,16
btota,"col  Acros",84.1300,16
btota,"vel Velocity Alerts (Downslope)",61.2400,7
btota,"vel Velocity Alerts (Across Slope)",50.4750,7
btota,"dis Displacement (Downslope)",244.6000,145
btota,"dis Displacement (Across Slope)",305.0050,145
btota,"col  Downs",138.8550,16
btota,"col  Acros",84.1300,16
btota,"vel Velocity Alerts (Downslope)",61.2400,7
btota,"vel Velocity Alerts (Across Slope)",50.4750,7
btota,"dis Displacement (Downslope)",244.6000,145
btota,"dis Displacement (Across Slope)",305.0050,145
btotb,"col  Downs",223.8750,16
btotb,"col  Acros",128.9350,16
btotb,"vel Velocity Alerts (Downslope)",96.7700,7
btotb,"vel Velocity Alerts (Across Slope)",91.2350,7
btotb,"dis Displacement (Downslope)",428.3000,145
btotb,"dis Displacement (Across Slope)",464.7650,145
btotb,"col  Downs",223.8750,16
btotb,"col  Acros",128.9350,16
btotb,"vel Velocity Alerts (Downslope)",96.7700,7
btotb,"vel Velocity Alerts (Across Slope)",91.2350,7
btotb,"dis Displacement (Downslope)",428.3000,145
btotb,"dis Displacement (Across Slope)",464.7650,145
carsb,"col  Downs",162.3750,14
carsb,"col  Acros",160.1950,14
carsb,"vel Velocity Alerts (Downslope)",77.7750,7
carsb,"vel Velocity Alerts (Across Slope)",70.2700,7
carsb,"dis Displacement (Downslope)",326.9250,145
carsb,"dis Displacement (Across Slope)",419.1250,145
carsb,"col  Downs",162.3750,14
carsb,"col  Acros",160.1950,14
carsb,"vel Velocity Alerts (Downslope)",77.7750,7
carsb,"vel Velocity Alerts (Across Slope)",70.2700,7
carsb,"dis Displacement (Downslope)",326.9250,145
carsb,"dis Displacement (Across Slope)",419.1250,145
carta,"col  Downs",346.6700,21
carta,"col  Acros",137.5450,21
carta,"vel Velocity Alerts (Downslope)",123.6600,7
